node   1  (   0,    0) (   3,    3) (   4,    4) (  11,    2) (   0,    0) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4)
          (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2)
          (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3)
          (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4)
          (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2)
          (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   7,    3) (   0,    2) (   0,    3) (   9,    2) (   0,    1) (   0,    3)
          (   9,    3) (   0,    2) (   0,    2) (   7,    4) (   0,    2) (   0,    2) (   9,    4) (   0,    2) (   0,    3) (   8,    3)
          (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2)
          (   0,    2) (   9,    4) (   0,    2) (   0,    2) (   7,    4) (   0,    2) (   0,    3) (   8,    4) (   0,    2) (   0,    3)
          (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    3) (   9,    4) (   0,    2) (   0,    1) (   9,    3)
          (   0,    2) (   0,    3) (   8,    3) (   0,    2) (   0,    2) (   8,    2) (   0,    2) (   0,    3) (   8,    3) (   0,    2)
          (   0,    3) (   8,    2) (   0,    2) (   0,    3) (   8,    3) (   0,    2) (   0,    3) (   9,    2) (   0,    1) (   0,    3)
          (   9,    3) (   0,    2) (   0,    2) (   7,    3) (   0,    1) (   0,    3) (   8,    3) (   0,    1) (   0,    3) (   7,    2)
          (   0,    2) (   0,    3) (   7,    3) (   0,    2) (   0,    3) (   6,    2) (   0,    2) (   0,    3) (   7,    2) (   0,    2)
          (   0,    3) (   4,    2) (   0,    2) (   0,    2) (   6,    3) (   0,    2) (   0,    2) (   6,    2) (   0,    2) (   0,    3)
          (   7,    3) (   0,    2) (   0,    2) (   7,    1) (   0,    2) (   0,    3) (   7,    3) (   0,    2) (   0,    3) (   7,    2)
          (   0,    2) (   0,    2) (   8,    3) (   0,    2) (   0,    3) (   7,    3) (   0,    2) (   0,    3) (   6,    3) (   0,    2)
          (   0,    3) (   5,    2) (   0,    2) (   0,    3) (   7,    3) (   0,    2) (   0,    2) (   6,    3) (   0,    1) (   0,    3)
          (   8,    2) (   0,    2) (   0,    3) (   7,    3) (   0,    2) (   0,    3) (   8,    3) (   0,    1) (   0,    3) (   7,    2)
